geneID,test,log2FoldChange,pvalue,From,Gene Names,Gene Name
Arhgef17,group2/group1,0.0,1.0,Arhgef17,ARHGEF17 KIAA0337 TEM4,ARHGEF17
Arhgef18,group2/group1,7.1,0.106571822902399,Arhgef18,ARHGEF18 KIAA0521,ARHGEF18
Arhgef19,group2/group1,0.0,1.0,Arhgef19,ARHGEF19,ARHGEF19
Arhgef2,group2/group1,0.48,0.531718568709213,Arhgef2,ARHGEF2 KIAA0651 LFP40,ARHGEF2
Arhgef25,group2/group1,2.58,0.35048293670251,Arhgef25,ARHGEF25 GEFT,ARHGEF25
Arhgef26,group2/group1,0.0,1.0,Arhgef26,ARHGEF26 SGEF HMFN1864,ARHGEF26
Arhgef28,group2/group1,0.0,1.0,Arhgef28,ARHGEF28 KIAA1998 RGNEF,ARHGEF28
Arhgef3,group2/group1,3.42,0.160614981301988,Arhgef3,ARHGEF3,ARHGEF3
Arhgef33,group2/group1,0.0,1.0,Arhgef33,ARHGEF33,ARHGEF33
Arhgef37,group2/group1,0.0,1.0,Arhgef37,ARHGEF37,ARHGEF37
Arhgef38,group2/group1,0.0,1.0,Arhgef38,ARHGEF38,ARHGEF38
Arhgef39,group2/group1,-6.9,0.0908443250421773,Arhgef39,ARHGEF39 C9orf100,ARHGEF39
Arhgef4,group2/group1,0.0,1.0,Arhgef4,ARHGEF4 KIAA1112,ARHGEF4
Arhgef40,group2/group1,-2.08,0.488387910474987,Arhgef40,ARHGEF40 SOLO,ARHGEF40
Arhgef5,group2/group1,0.0,1.0,Arhgef5,ARHGEF5 TIM,ARHGEF5
Arhgef6,group2/group1,-2.31,0.0138331575710635,Arhgef6,ARHGEF6 COOL2 KIAA0006 PIXA,ARHGEF6
Arhgef7,group2/group1,1.56,0.125727176768932,Arhgef7,ARHGEF7 COOL1 KIAA0142 P85SPR PAK3BP PIXB Nbla10314,ARHGEF7
Arhgef9,group2/group1,-4.19,0.278964928349341,Arhgef9,ARHGEF9 ARHDH9 KIAA0424,ARHGEF9
Arid1a,group2/group1,0.32,0.760284870773949,Arid1a,ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,ARID1A
Arid1b,group2/group1,-1.75,0.488709805238377,Arid1b,ARID1B BAF250B DAN15 KIAA1235 OSA2,ARID1B
Arid2,group2/group1,0.0,0.999429902986658,Arid2,ARID2 BAF200 KIAA1557,ARID2
Arid3a,group2/group1,-0.07,0.97638710084419,Arid3a,ARID3A DRIL1 DRIL3 DRX E2FBP1,ARID3A
Arid3b,group2/group1,-5.73,0.0728133078290726,Arid3b,ARID3B BDP DRIL2,ARID3B
Arid3c,group2/group1,0.0,1.0,Arid3c,ARID3C,ARID3C
Arid4a,group2/group1,0.28,0.618176360893234,Arid4a,ARID4A RBBP1 RBP1,ARID4A
Arid4b,group2/group1,0.09,0.88468724306519,Arid4b,ARID4B BRCAA1 RBBP1L1 RBP1L1 SAP180,ARID4B
Arid5a,group2/group1,0.64,0.261852120707751,Arid5a,ARID5A MRF1,ARID5A
Arid5b,group2/group1,0.65,0.609033010864432,Arid5b,ARID5B DESRT MRF2,ARID5B
Arih1,group2/group1,0.23,0.739016822983952,Arih1,ARIH1 ARI MOP6 UBCH7BP HUSSY-27,ARIH1
Arih2,group2/group1,0.44,0.28582739507674,Arih2,ARIH2 ARI2 TRIAD1 HT005,ARIH2
Arl1,group2/group1,-0.62,0.345619355310443,Arl1,ARL1,ARL1
Arl10,group2/group1,-0.05,0.97799525095387,Arl10,ARL10 ARL10A,ARL10
Arl11,group2/group1,0.45,0.860077630676987,Arl11,ARL11 ARLTS1,ARL11
Arl13a,group2/group1,0.0,1.0,Arl13a,ARL13A,ARL13A
Arl13b,group2/group1,-0.02,0.989270984585898,Arl13b,ARL13B ARL2L1,ARL13B
Arl14,group2/group1,0.0,1.0,Arl14,ARL14 ARF7,ARL14
Arl14ep,group2/group1,1.89,0.114624648091849,Arl14ep,ARL14EP ARF7EP C11orf46,ARL14EP
Arl14epl,group2/group1,0.0,1.0,Arl14epl,ARL14EPL,ARL14EPL
Arl15,group2/group1,3.32,0.306650022321397,Arl15,ARL15 ARFRP2,ARL15
Arl16,group2/group1,1.95,0.133792533926313,Arl16,ARL16,ARL16
Arl2,group2/group1,-0.28,0.793502700494863,Arl2,ARL2,ARL2
Arl2bp,group2/group1,0.18,0.837072882047287,Arl2bp,ARL2BP BART BART1,ARL2BP
Arl3,group2/group1,0.07,0.909991145156082,Arl3,ARL3 ARFL3,ARL3
Arl4a,group2/group1,-0.88,0.517646671749123,Arl4a,ARL4A ARL4,ARL4A
Arl4c,group2/group1,1.24,0.0319342397989045,Arl4c,ARL4C ARL7,ARL4C
Arl4d,group2/group1,6.8,0.12876989999179,Arl4d,ARL4D ARF4L,ARL4D
Arl5a,group2/group1,0.44,0.79586246907867,Arl5a,ARL5A ARFLP5 ARL5,ARL5A
Arl5b,group2/group1,0.91,0.316741292949176,Arl5b,ARL5B ARL8,ARL5B
Arl5c,group2/group1,2.87,0.211050278571954,Arl5c,ARL5C ARL12,ARL5C
Arl6,group2/group1,-0.81,0.308647932603266,Arl6,ARL6 BBS3,ARL6
Arl6ip1,group2/group1,-0.98,0.0151688243519201,Arl6ip1,ARL6IP1 ARL6IP ARMER KIAA0069,ARL6IP1
Arl6ip4,group2/group1,-0.28,0.705490620769938,Arl6ip4,ARL6IP4,ARL6IP4
Arl6ip5,group2/group1,-0.24,0.565652328879867,Arl6ip5,ARL6IP5 DERP11 JWA PRA2 PRAF3 HSPC127,ARL6IP5
Arl6ip6,group2/group1,0.06,0.951463742532434,Arl6ip6,ARL6IP6 PFAAP1,ARL6IP6
Arl8a,group2/group1,0.53,0.58715304260994,Arl8a,ARL8A ARL10B GIE2,ARL8A
Arl8b,group2/group1,-0.12,0.737882584255102,Arl8b,ARL8B ARL10C GIE1,ARL8B
Arl9,group2/group1,0.0,1.0,Arl9,ARL9,ARL9
Armc1,group2/group1,-0.8,0.60102329977707,Armc1,ARMC1 ARCP,ARMC1
Armc10,group2/group1,0.22,0.906697983128791,Armc10,ARMC10 SVH PSEC0198,ARMC10
Armc12,group2/group1,0.0,1.0,Armc12,ARMC12 C6orf81,ARMC12
Armc2,group2/group1,0.0,1.0,Armc2,ARMC2,ARMC2
Armc3,group2/group1,0.0,1.0,Armc3,ARMC3,ARMC3
Armc4,group2/group1,0.0,1.0,Armc4,ODAD2 ARMC4,ODAD2
Armc5,group2/group1,1.22,0.406782375723558,Armc5,ARMC5,ARMC5
Armc6,group2/group1,-6.32,0.175906738751484,Armc6,ARMC6,ARMC6
Armc7,group2/group1,0.21,0.903376706160946,Armc7,ARMC7,ARMC7
Armc8,group2/group1,1.31,0.495168978042309,Armc8,ARMC8 S863-2,ARMC8
Armc9,group2/group1,7.43,0.0780004934376701,Armc9,ARMC9 KIAA1868,ARMC9
Armcx1,group2/group1,0.0,1.0,Armcx1,ARMCX1 ALEX1 AD032,ARMCX1
Armcx2,group2/group1,0.17,0.938416332347916,Armcx2,ARMCX2 ALEX2 KIAA0512,ARMCX2
Armcx3,group2/group1,-0.33,0.735349883135277,Armcx3,ARMCX3 ALEX3 BM-017 UNQ2517/PRO6007,ARMCX3
Armcx4,group2/group1,0.0,1.0,Armcx4,ARMCX4,ARMCX4
Armcx5,group2/group1,-4.48,0.267452086708263,Armcx5,ARMCX5,ARMCX5
Armcx6,group2/group1,-7.27,0.0543929309131339,Armcx6,ARMCX6,ARMCX6
Arnt,group2/group1,0.19,0.917825283923327,Arnt,ARNT BHLHE2,ARNT
Arnt2,group2/group1,0.0,1.0,Arnt2,ARNT2 BHLHE1 KIAA0307,ARNT2
Arntl,group2/group1,6.86,0.123794232509844,Arntl,BMAL1 ARNTL BHLHE5 MOP3 PASD3,BMAL1
Arntl2,group2/group1,7.03,0.110144995318691,Arntl2,BMAL2 ARNTL2 BHLHE6 CLIF MOP9 PASD9,BMAL2
Arpc1a,group2/group1,-0.05,0.929396118163588,Arpc1a,ARPC1A SOP2L,ARPC1A
Arpc1b,group2/group1,0.1,0.677083211428122,Arpc1b,ARPC1B ARC41,ARPC1B
Arpc2,group2/group1,-0.47,0.0904418530214199,Arpc2,ARPC2 ARC34 PRO2446,ARPC2
Arpc3,group2/group1,-0.27,0.322901413503412,Arpc3,ARPC3 ARC21,ARPC3
Arpc4,group2/group1,0.16,0.586627365111643,Arpc4,ARPC4 ARC20,ARPC4
Arpc5,group2/group1,-0.14,0.578311661220684,Arpc5,ARPC5 ARC16,ARPC5
Arpc5l,group2/group1,-0.47,0.339742501054632,Arpc5l,ARPC5L,ARPC5L
Arpp19,group2/group1,-0.45,0.444911610884918,Arpp19,ARPP19,ARPP19
Arpp21,group2/group1,0.0,1.0,Arpp21,ARPP21 TARPP,ARPP21
Arr3,group2/group1,0.0,1.0,Arr3,ARR3 ARRX CAR,ARR3
Arrb1,group2/group1,-3.13,0.123240386280812,Arrb1,ARRB1 ARR1,ARRB1
Arrb2,group2/group1,0.82,0.202896320627277,Arrb2,ARRB2 ARB2 ARR2,ARRB2
Arrdc1,group2/group1,0.91,0.134471576615227,Arrdc1,ARRDC1,ARRDC1
Arrdc2,group2/group1,-5.68,0.219059166726973,Arrdc2,ARRDC2 PP2703,ARRDC2
Arrdc3,group2/group1,-3.34,0.190329021978797,Arrdc3,ARRDC3 KIAA1376,ARRDC3
Arrdc4,group2/group1,0.33,0.512125203035417,Arrdc4,ARRDC4,ARRDC4
Arrdc5,group2/group1,0.0,1.0,Arrdc5,ARRDC5,ARRDC5
Arsa,group2/group1,2.16,0.0469456802657996,Arsa,GET3 ARSA ASNA1 TRC40,GET3
Arsa,group2/group1,2.16,0.0469456802657996,Arsa,ARSA,ARSA
Arsb,group2/group1,-2.03,0.0228997694576424,Arsb,ARSB,ARSB
Arsg,group2/group1,0.0,1.0,Arsg,ARSG KIAA1001 UNQ839/PRO1777,ARSG
Arsi,group2/group1,0.0,1.0,Arsi,ARSI,ARSI
Arsj,group2/group1,8.42,0.0255862090305037,Arsj,ARSJ UNQ372/PRO708,ARSJ
Arsk,group2/group1,0.67,0.796448468659621,Arsk,ARSK TSULF UNQ630/PRO1246,ARSK
Art1,group2/group1,0.0,1.0,Art1,ART1,ART1
Art3,group2/group1,-5.82,0.176449239631165,Art3,ART3 TMART,ART3
Art4,group2/group1,0.0,1.0,Art4,ART4 DO DOK1,ART4
Art4,group2/group1,0.0,1.0,Art4,NOB1 ART4 NOB1P PSMD8BP1 MSTP158,NOB1
Art5,group2/group1,0.0,1.0,Art5,ART5 UNQ575/PRO1137,ART5
Artn,group2/group1,0.0,1.0,Artn,ARTN EVN,ARTN
Arv1,group2/group1,-1.01,0.721766789581973,Arv1,ARV1 HT035,ARV1
Arvcf,group2/group1,0.0,1.0,Arvcf,ARVCF,ARVCF
Arvcf,group2/group1,0.0,1.0,Arvcf,ARVCF,ARVCF
Arx,group2/group1,-3.12,0.336356089048655,Arx,ARX,ARX
As3mt,group2/group1,-0.06,0.959481227071002,As3mt,AS3MT CYT19,AS3MT
Asah1,group2/group1,0.15,0.631706557999058,Asah1,ASAH1 ASAH HSD-33 HSD33,ASAH1
Asah2,group2/group1,6.76,0.134203648164051,Asah2,ASAH2 HNAC1,ASAH2
Asap1,group2/group1,-0.35,0.54309184556084,Asap1,ASAP1 DDEF1 KIAA1249 PAG2,ASAP1
Asap2,group2/group1,-0.66,0.761019458199861,Asap2,ASAP2 DDEF2 KIAA0400,ASAP2
Asap3,group2/group1,0.0,1.0,Asap3,ASAP3 DDEFL1 UPLC1,ASAP3
Asb1,group2/group1,-5.31,0.235669346414378,Asb1,ASB1 KIAA1146,ASB1
Asb10,group2/group1,0.0,1.0,Asb10,ASB10,ASB10
Asb11,group2/group1,0.0,1.0,Asb11,ASB11,ASB11
Asb12,group2/group1,0.0,1.0,Asb12,ASB12,ASB12
Asb13,group2/group1,-0.31,0.866563315895352,Asb13,ASB13,ASB13
Asb14,group2/group1,0.0,1.0,Asb14,ASB14,ASB14
Asb15,group2/group1,0.0,1.0,Asb15,ASB15,ASB15
Asb16,group2/group1,0.0,1.0,Asb16,ASB16,ASB16
Asb17,group2/group1,0.0,1.0,Asb17,ASB17,ASB17
Asb18,group2/group1,0.0,1.0,Asb18,ASB18,ASB18
Asb2,group2/group1,-0.3,0.854927403430242,Asb2,ASB2,ASB2
Asb3,group2/group1,1.51,0.475329480397837,Asb3,ASB3,ASB3
Asb4,group2/group1,0.0,1.0,Asb4,ASB4,ASB4
Asb5,group2/group1,0.0,1.0,Asb5,ASB5,ASB5
Asb6,group2/group1,0.51,0.599819847802554,Asb6,ASB6,ASB6
Asb7,group2/group1,0.0,1.0,Asb7,ASB7,ASB7
Asb8,group2/group1,0.2,0.892857229387892,Asb8,ASB8 PP14212,ASB8
Asb9,group2/group1,0.0,1.0,Asb9,ASB9,ASB9
Ascc1,group2/group1,0.38,0.535966587428243,Ascc1,ASCC1 CGI-18,ASCC1
Ascc2,group2/group1,0.44,0.778433971820572,Ascc2,ASCC2 ASC1P100 RQT3,ASCC2
Ascc3,group2/group1,-0.23,0.85133007032892,Ascc3,ASCC3 HELIC1 RQT2,ASCC3
Ascl1,group2/group1,0.0,1.0,Ascl1,ASCL1 ASH1 BHLHA46 HASH1,ASCL1
Ascl2,group2/group1,0.0,1.0,Ascl2,ASCL2 BHLHA45 HASH2,ASCL2
Ascl3,group2/group1,0.0,1.0,Ascl3,ASCL3 BHLHA42 HASH3 SGN1,ASCL3
Ascl4,group2/group1,0.0,1.0,Ascl4,ASCL4 BHLHA44 HASH4,ASCL4
Ascl5,group2/group1,0.0,1.0,Ascl5,ASCL5 BHLHA47,ASCL5
Asf1a,group2/group1,-0.57,0.745415109102195,Asf1a,ASF1A CGI-98 HSPC146,ASF1A
Asf1b,group2/group1,-9.16,0.000198477698786573,Asf1b,ASF1B,ASF1B
Asgr1,group2/group1,0.0,1.0,Asgr1,ASGR1 CLEC4H1,ASGR1
Asgr2,group2/group1,0.08,0.977838071566987,Asgr2,ASGR2 CLEC4H2,ASGR2
Ash1l,group2/group1,0.65,0.714263540636135,Ash1l,ASH1L KIAA1420 KMT2H,ASH1L
Ash2l,group2/group1,-1.51,0.30262872791123,Ash2l,ASH2L ASH2L1,ASH2L
Asic1,group2/group1,0.0,1.0,Asic1,ASIC1 ACCN2 BNAC2,ASIC1
Asic2,group2/group1,0.0,1.0,Asic2,ASIC2 ACCN ACCN1 BNAC1 MDEG,ASIC2
Asic3,group2/group1,1.6,0.470266616207568,Asic3,ASIC3 ACCN3 SLNAC1 TNAC1,ASIC3
Asic4,group2/group1,0.0,1.0,Asic4,ASIC4 ACCN4,ASIC4
Asic5,group2/group1,0.0,1.0,Asic5,ASIC5 ACCN5 HINAC,ASIC5
Asl,group2/group1,-0.05,0.915433633625348,Asl,ASL,ASL
Asmt,group2/group1,0.0,1.0,Asmt,ASMT,ASMT
Asna1,group2/group1,-0.38,0.523413119438328,Asna1,GET3 ARSA ASNA1 TRC40,GET3
Asns,group2/group1,6.8,0.022838706230307,Asns,ASNS TS11,ASNS
Asnsd1,group2/group1,-1.12,0.254930687092162,Asnsd1,ASNSD1 NS3TP1 Nbla00058,ASNSD1
Aspa,group2/group1,0.0,1.0,Aspa,ASPA ACY2 ASP,ASPA
Aspdh,group2/group1,0.0,1.0,Aspdh,ASPDH,ASPDH
Aspg,group2/group1,0.0,1.0,Aspg,ASPG C14orf76,ASPG
Asph,group2/group1,-0.21,0.90692003713055,Asph,ASPH BAH,ASPH
Asphd1,group2/group1,0.0,1.0,Asphd1,ASPHD1,ASPHD1
Asphd2,group2/group1,0.0,1.0,Asphd2,ASPHD2,ASPHD2
Aspm,group2/group1,-5.41,0.23149279315721,Aspm,ASPM MCPH5,ASPM
Aspn,group2/group1,-0.64,0.835450286823097,Aspn,ASPN PLAP1 SLRR1C UNQ215/PRO241,ASPN
Asprv1,group2/group1,0.0,1.0,Asprv1,ASPRV1 SASP,ASPRV1
Aspscr1,group2/group1,-0.02,0.982374698708923,Aspscr1,ASPSCR1 ASPL RCC17 TUG UBXD9 UBXN9,ASPSCR1
Asrgl1,group2/group1,-5.34,0.234240115962825,Asrgl1,ASRGL1 ALP CRASH,ASRGL1
Ass1,group2/group1,-1.53,0.507349087703066,Ass1,ASS1 ASS,ASS1
Aste1,group2/group1,1.03,0.690684430995183,Aste1,ASTE1 HT001,ASTE1
Astl,group2/group1,0.0,1.0,Astl,ASTL,ASTL
Astn1,group2/group1,0.0,1.0,Astn1,ASTN1 ASTN KIAA0289,ASTN1
Astn2,group2/group1,0.0,1.0,Astn2,ASTN2 KIAA0634,ASTN2
Asun,group2/group1,0.08,0.963899065170698,Asun,INTS13 ASUN C12orf11 GCT1,INTS13
Asxl1,group2/group1,-0.68,0.78262832131421,Asxl1,ASXL1 KIAA0978,ASXL1
Asxl2,group2/group1,-0.35,0.793777076626884,Asxl2,ASXL2 ASXH2 KIAA1685,ASXL2
Asxl3,group2/group1,0.0,1.0,Asxl3,ASXL3 KIAA1713,ASXL3
Asz1,group2/group1,0.0,1.0,Asz1,ASZ1 ALP1 ANKL1 C7orf7 GASZ,ASZ1
Atad1,group2/group1,-0.25,0.859995651583371,Atad1,ATAD1 FNP001,ATAD1
Atad2,group2/group1,-1.96,0.222758008963904,Atad2,ATAD2 L16 PRO2000,ATAD2
Atad2b,group2/group1,-0.44,0.785191549313804,Atad2b,ATAD2B KIAA1240,ATAD2B
Atad3a,group2/group1,-0.6,0.485899053451938,Atad3a,ATAD3A,ATAD3A
Atad5,group2/group1,-7.36,0.0481632525041211,Atad5,ATAD5 C17orf41 Elg1 FRAG1,ATAD5
Atat1,group2/group1,1.01,0.654734444435169,Atat1,ATAT1 C6orf134 MEC17 Nbla00487,ATAT1
Atcay,group2/group1,0.0,1.0,Atcay,ATCAY KIAA1872,ATCAY
Ate1,group2/group1,-0.93,0.479000553499399,Ate1,ATE1,ATE1
Atf1,group2/group1,-1.07,0.275477318717394,Atf1,ATF1,ATF1
Atf2,group2/group1,-0.69,0.616152099941094,Atf2,ATF2 CREB2 CREBP1,ATF2
Atf3,group2/group1,0.53,0.153563411525554,Atf3,ATF3,ATF3
Atf4,group2/group1,0.92,0.095236869581538,Atf4,ATF4 CREB2 TXREB,ATF4
Atf5,group2/group1,0.58,0.835624266075579,Atf5,ATF5 ATFX,ATF5
Atf6,group2/group1,0.18,0.839736434700901,Atf6,ATF6,ATF6
Atf6b,group2/group1,0.53,0.32516930604024,Atf6b,ATF6B CREBL1 G13,ATF6B
Atf7,group2/group1,-6.75,0.100417466905733,Atf7,ATF7 ATFA,ATF7
Atf7ip,group2/group1,0.73,0.476553302368868,Atf7ip,ATF7IP MCAF MCAF1,ATF7IP
Atf7ip2,group2/group1,0.0,1.0,Atf7ip2,ATF7IP2 MCAF2,ATF7IP2
Atg10,group2/group1,0.15,0.907737565806205,Atg10,ATG10 APG10L PP12616,ATG10
Atg101,group2/group1,0.25,0.655560431807475,Atg101,ATG101 C12orf44 PP894,ATG101
Atg12,group2/group1,-0.99,0.288011957160404,Atg12,ATG12 APG12 APG12L,ATG12
Atg13,group2/group1,-0.36,0.869471774227337,Atg13,ATG13 KIAA0652,ATG13
Atg14,group2/group1,0.6,0.822661121886426,Atg14,ATG14 ATG14L KIAA0831,ATG14
Atg16l1,group2/group1,1.06,0.518943137806314,Atg16l1,ATG16L1 APG16L UNQ9393/PRO34307,ATG16L1
Atg16l2,group2/group1,0.43,0.853615882023392,Atg16l2,ATG16L2 WDR80,ATG16L2
Atg2a,group2/group1,-0.2,0.938629205588274,Atg2a,ATG2A KIAA0404,ATG2A
Atg2a,group2/group1,-0.2,0.938629205588274,Atg2a,ATG2A KIAA0404,ATG2A
Atg2b,group2/group1,-6.63,0.109883255851426,Atg2b,ATG2B C14orf103,ATG2B
Atg3,group2/group1,-1.05,0.0984847313974242,Atg3,ATG3 APG3 APG3L,ATG3
Atg4a,group2/group1,-3.95,0.269674656134207,Atg4a,ATG4A APG4A AUTL2,ATG4A
Atg4b,group2/group1,-0.23,0.878576779553643,Atg4b,ATG4B APG4B AUTL1 KIAA0943,ATG4B
Atg4c,group2/group1,1.81,0.330613807886853,Atg4c,ATG4C APG4C AUTL1 AUTL3,ATG4C
Atg4d,group2/group1,-1.06,0.475344268230494,Atg4d,ATG4D APG4D AUTL4,ATG4D
Atg5,group2/group1,-0.36,0.637609063732221,Atg5,ATG5 APG5L ASP,ATG5
Atg7,group2/group1,-0.28,0.828892292780497,Atg7,ATG7 APG7L,ATG7
Atg9a,group2/group1,1.31,0.522099434066558,Atg9a,ATG9A APG9L1,ATG9A
Atg9b,group2/group1,5.84,0.112289376146721,Atg9b,ATG9B APG9L2 NOS3AS,ATG9B
Athl1,group2/group1,-4.71,0.199704871323564,Athl1,PGGHG ATHL1,PGGHG
Atic,group2/group1,0.3,0.735725141140667,Atic,ATIC PURH OK/SW-cl.86,ATIC
Atl1,group2/group1,0.0,1.0,Atl1,ATL1 GBP3 SPG3A,ATL1
Atl2,group2/group1,0.99,0.662589118799384,Atl2,ATL2 ARL6IP2,ATL2
Atl3,group2/group1,0.21,0.85773967434244,Atl3,ATL3,ATL3
Atm,group2/group1,-4.94,0.217590470590074,Atm,ATM,ATM
Atmin,group2/group1,1.45,0.440698223534062,Atmin,ATMIN KIAA0431 ZNF822,ATMIN
Atn1,group2/group1,0.25,0.891355650147616,Atn1,ATN1 D12S755E DRPLA,ATN1
Atn1,group2/group1,0.25,0.891355650147616,Atn1,ATN1 D12S755E DRPLA,ATN1
Atoh1,group2/group1,0.0,1.0,Atoh1,ATOH1 ATH1 BHLHA14,ATOH1
Atoh7,group2/group1,0.0,1.0,Atoh7,ATOH7 ATH5 BHLHA13,ATOH7
Atoh8,group2/group1,0.0,1.0,Atoh8,ATOH8 ATH6 BHLHA21,ATOH8
Atox1,group2/group1,0.14,0.624559782982855,Atox1,ATOX1 HAH1,ATOX1
Atp10a,group2/group1,1.87,0.462727278253653,Atp10a,ATP10A ATP10C ATPVA ATPVC KIAA0566,ATP10A
Atp10b,group2/group1,0.0,1.0,Atp10b,ATP10B ATPVB KIAA0715,ATP10B
Atp10d,group2/group1,0.35,0.892138748920493,Atp10d,ATP10D ATPVD KIAA1487,ATP10D
Atp11a,group2/group1,1.52,0.499549850112655,Atp11a,ATP11A ATPIH ATPIS KIAA1021,ATP11A
Atp11b,group2/group1,0.95,0.339188260532175,Atp11b,ATP11B ATPIF ATPIR KIAA0956,ATP11B
Atp11c,group2/group1,-0.58,0.780007332603019,Atp11c,ATP11C ATPIG ATPIQ,ATP11C
Atp11c,group2/group1,-0.58,0.780007332603019,Atp11c,ATP11C ATPIG ATPIQ,ATP11C
Atp12a,group2/group1,0.0,1.0,Atp12a,ATP12A ATP1AL1,ATP12A
Atp13a1,group2/group1,0.7,0.656615580946496,Atp13a1,ATP13A1 ATP13A KIAA1825 CGI-152,ATP13A1
Atp13a2,group2/group1,0.94,0.475355548952018,Atp13a2,ATP13A2 PARK9,ATP13A2
Atp13a3,group2/group1,0.2,0.912868717455548,Atp13a3,ATP13A3 AFURS1,ATP13A3
Atp13a4,group2/group1,0.0,1.0,Atp13a4,ATP13A4 UNQ3052/PRO9871,ATP13A4
Atp13a5,group2/group1,0.0,1.0,Atp13a5,ATP13A5 UNQ488/PRO1004,ATP13A5
Atp1a1,group2/group1,0.46,0.196635079508319,Atp1a1,ATP1A1,ATP1A1
Atp1a2,group2/group1,-3.87,0.293133944686324,Atp1a2,ATP1A2 KIAA0778,ATP1A2
Atp1a3,group2/group1,1.21,0.620833856580519,Atp1a3,ATP1A3,ATP1A3
Atp1a4,group2/group1,0.0,1.0,Atp1a4,ATP1A4 ATP1AL2,ATP1A4
Atp1b1,group2/group1,7.07,0.109394746323184,Atp1b1,ATP1B1 ATP1B,ATP1B1
Atp1b2,group2/group1,0.0,1.0,Atp1b2,ATP1B2,ATP1B2
Atp1b3,group2/group1,0.0,0.993831188409033,Atp1b3,ATP1B3,ATP1B3
Atp1b4,group2/group1,-5.55,0.225449249811714,Atp1b4,ATP1B4,ATP1B4
Atp2a1,group2/group1,0.0,1.0,Atp2a1,ATP2A1,ATP2A1
Atp2a2,group2/group1,-1.07,0.513078337115376,Atp2a2,ATP2A2 ATP2B,ATP2A2
Atp2a3,group2/group1,-6.74,0.0999259158064889,Atp2a3,ATP2A3,ATP2A3
Atp2b1,group2/group1,-0.48,0.375686640091644,Atp2b1,ATP2B1 PMCA1,ATP2B1
Atp2b2,group2/group1,-0.45,0.875429263943533,Atp2b2,ATP2B4 ATP2B2 MXRA1,ATP2B4
Atp2b2,group2/group1,-0.45,0.875429263943533,Atp2b2,ATP2B2 PMCA2,ATP2B2
Atp2b3,group2/group1,0.0,1.0,Atp2b3,ATP2B3,ATP2B3
Atp2b4,group2/group1,1.4,0.619956558431523,Atp2b4,ATP2B4 ATP2B2 MXRA1,ATP2B4
Atp2c1,group2/group1,-1.21,0.0718214622990893,Atp2c1,ATP2C1 KIAA1347 PMR1L HUSSY-28,ATP2C1
Atp2c2,group2/group1,6.65,0.140868118530738,Atp2c2,ATP2C2 KIAA0703 SPCA2,ATP2C2
Atp4a,group2/group1,0.0,1.0,Atp4a,ATP4A,ATP4A
Atp4b,group2/group1,0.0,1.0,Atp4b,ATP4B,ATP4B
Atp5a1,group2/group1,0.11,0.685517076734455,Atp5a1,ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM,ATP5F1A
Atp5b,group2/group1,0.11,0.681585147657875,Atp5b,ATP5F1B ATP5B ATPMB ATPSB,ATP5F1B
Atp5c1,group2/group1,-0.3,0.278137843718095,Atp5c1,ATP5F1C ATP5C ATP5C1 ATP5CL1,ATP5F1C
Atp5d,group2/group1,-0.09,0.774329664245645,Atp5d,ATP5F1D ATP5D,ATP5F1D
Atp5e,group2/group1,-0.52,0.147924337550951,Atp5e,ATP5F1E ATP5E,ATP5F1E
Atp5f1,group2/group1,-0.18,0.575428699547876,Atp5f1,ATP5PB ATP5F1,ATP5PB
Atp5g1,group2/group1,-0.06,0.877045802515344,Atp5g1,ATP5MC1 ATP5G1,ATP5MC1
Atp5g2,group2/group1,-0.24,0.567254492846748,Atp5g2,ATP5MC2 ATP5G2 PSEC0033,ATP5MC2
Atp5g3,group2/group1,-0.08,0.815400410444382,Atp5g3,ATP5MC3 ATP5G3,ATP5MC3
Atp5h,group2/group1,-0.39,0.22834313763914,Atp5h,ATP5PD ATP5H My032,ATP5PD
Atp5j,group2/group1,-0.26,0.413909202354532,Atp5j,ATP5PF ATP5A ATP5J ATPM,ATP5PF
Atp5j2,group2/group1,-0.25,0.494619165031874,Atp5j2,ATP5MF ATP5J2 ATP5JL,ATP5MF
Atp5k,group2/group1,-0.5,0.368940823099538,Atp5k,ATP5ME ATP5I ATP5K,ATP5ME
Atp5l,group2/group1,-0.52,0.205029972856863,Atp5l,ATP5MG ATP5L,ATP5MG
Atp5o,group2/group1,-0.42,0.262856785119617,Atp5o,ATP5PO ATP5O ATPO,ATP5PO
Atp5s,group2/group1,-1.49,0.583770914614908,Atp5s,DMAC2L ATP5S ATPW,DMAC2L
Atp5sl,group2/group1,-1.04,0.614733701669019,Atp5sl,DMAC2 ATP5SL,DMAC2
Atp6ap1,group2/group1,-0.07,0.824465457357379,Atp6ap1,ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3,ATP6AP1
Atp6ap1l,group2/group1,0.0,1.0,Atp6ap1l,ATP6AP1L,ATP6AP1L
Atp6ap2,group2/group1,-0.69,0.0478090558199494,Atp6ap2,ATP6AP2 ATP6IP2 CAPER ELDF10 HT028 MSTP009 PSEC0072,ATP6AP2
